timestamp,vehicle,mileage,listing_price,predicted_price,price_range_low,price_range_high,price_difference,price_difference_pct,deal_rating,price_position
2025-03-09 14:06:27,2017 Buick Cascada Sport Touring,99749.0,12997.0,14696.0,14505.0,14886.0,-1699.0,-11.560968971148613,Good Deal,Below Range
2025-03-09 14:06:27,2024 Ford Bronco Badlands,2.0,60684.0,69835.0,65610.0,74509.0,-9151.0,-13.103744540703085,Good Deal,Below Range
2025-03-09 14:06:28,2024 Ford Bronco Badlands,2.0,63310.0,69835.0,65610.0,74509.0,-6525.0,-9.343452423569843,Fair Price,Below Range
2025-03-09 14:06:28,2023 Ford Bronco Wildtrak Advanced,15120.0,52659.0,48354.0,44129.0,53028.0,4305.0,8.90308971336394,Slightly High,Within Range
2025-03-09 14:06:29,2025 Mercedes-Benz SL-Class AMG SL 55,10.0,166045.0,123632.0,119407.0,128306.0,42413.0,34.3058431474052,Very High,Above Range
2025-03-09 14:06:29,1934 Ford Antique nan,5000.0,52000.0,50499.0,46275.0,55174.0,1501.0,2.9723360858630867,Slightly High,Within Range
2025-03-09 14:06:30,2024 Mazda Miata Club,8.0,42274.0,54075.0,49851.0,58749.0,-11801.0,-21.82339343504392,Excellent Deal,Below Range
2025-03-09 14:06:30,2007 BMW Z4 3.0si,94000.0,8642.0,34511.0,29504.0,34954.0,-25869.0,-74.95870881747848,Excellent Deal,Below Range
2025-03-09 14:06:30,2024 Ford Bronco Wildtrak,2.0,63775.0,68743.0,64518.0,73417.0,-4968.0,-7.22691764979707,Fair Price,Below Range
2025-03-09 14:06:31,2024 Ford Bronco Badlands,2.0,54040.0,69835.0,65610.0,74509.0,-15795.0,-22.617598625331137,Excellent Deal,Below Range
2025-03-09 14:06:31,2018 Audi A5 2.0T quattro Premium Plus,46129.0,27900.0,41034.0,36809.0,45708.0,-13134.0,-32.0076034507969,Excellent Deal,Below Range
2025-03-09 14:06:31,2024 Ford Bronco Badlands,2.0,63310.0,69835.0,65610.0,74509.0,-6525.0,-9.343452423569843,Fair Price,Below Range
2025-03-09 14:06:32,2025 Ford Bronco Raptor,2.0,101985.0,61598.0,57374.0,66272.0,40387.0,65.56544043637781,Very High,Above Range
2025-03-09 14:06:32,2011 Mercedes-Benz E-Class E 350,95345.0,11600.0,14045.0,9821.0,18719.0,-2445.0,-17.408330366678534,Good Deal,Within Range
2025-03-09 14:06:32,2024 Ford Bronco Wildtrak,2.0,63007.0,68743.0,64518.0,73417.0,-5736.0,-8.344122310635264,Fair Price,Below Range
2025-03-09 14:06:33,2023 Mercedes-Benz SL-Class AMG SL 63,75.0,199985.0,114113.0,109888.0,118787.0,85872.0,75.25172416814911,Very High,Above Range
2025-03-09 14:06:33,2022 Ford Mustang EcoBoost Premium,60311.0,21228.0,33634.0,31588.0,35906.0,-12406.0,-36.885294642326215,Excellent Deal,Below Range
2025-03-09 14:06:34,2015 Mini Convertible Cooper S,94500.0,13950.0,19239.0,15015.0,23913.0,-5289.0,-27.49103383751754,Excellent Deal,Below Range
2025-03-09 14:06:35,2023 Ford Bronco Outer Banks Advanced,14540.0,43800.0,49406.0,45182.0,54080.0,-5606.0,-11.346799983807635,Good Deal,Below Range
2025-03-09 14:06:35,2024 Ford Bronco Outer Banks,2.0,51020.0,73065.0,68840.0,77739.0,-22045.0,-30.171764866899338,Excellent Deal,Below Range
2025-03-09 14:06:35,2022 Ford Mustang EcoBoost Premium,74431.0,21540.0,32771.0,30215.0,35024.0,-11231.0,-34.27115437429434,Excellent Deal,Below Range
2025-03-09 14:06:35,2025 Chevrolet Corvette E-Ray,0.0,127970.0,,,,,,No Data,Unknown
2025-03-09 14:06:36,2017 Mercedes-Benz S-Class AMG S 63,36041.0,68338.0,41418.0,37193.0,46092.0,26920.0,64.99589550437008,Very High,Above Range
2025-03-09 14:06:36,1987 Porsche 911 Carrera,80944.0,78499.0,43588.0,39364.0,48262.0,34911.0,80.09314490226667,Very High,Above Range
